"data","Somalia","jowhar","lughaye","zeylac","bossaso","dharkenley","daynile","gaalkacyo","hodan","belet_weyne","hawl_wadaag","kahda","marka","caynabo","laas_caanood","xudun","laasqoray","baki","borama","berbera","gebiley","hargeysa","owdweyne","xamar_weyne","garowe","cabdlcasiis","boondheere","karaan","shibis","shangaani","waaberi","wadajir","wardhiigleey","xamar_jabjab","yaaqshiid","afgooye","baidoa","diinsoor","baardheere","belet_xaawo","ceel_waaq","doolow","luuq","garbahaarey","afmadow","kismayo","burco","buuhoodle","sheikh","ceel_afweyn","ceerigaabo","qardho","burtinle","galdogob","hobyo","dhuusamarreeb","cabudwaaq","cadaado","wanla_weyn","xudur","ceel_barde","waajid"
"Non-affected groups are demanding humanitarian assistance","17","7","0","0","2","14","12","2","14","8","11","20","0","0","0",NA,"25","0","0","0","0","8","0","29","4","20","0","0","0","100","0","35","17","0","17","7","22","17","0","17","0","100","0","0","44","25","40",NA,"0","0","0","0",NA,"50","33","0","12","0","0",NA,"0","50"
"Political interference in distribution of aid","11","35","0","0","0","10","7","5","3","1","5","14","0","0","100",NA,"0","0","0","0","0","0","0","14","0","0","0","50","0","100","0","6","0","33","0","0","17","50","0","17","0","0","8","0","0","7","0",NA,"0","0","0","0",NA,"0","33","0","12","0","0",NA,"0","17"
"Assistance did not respond to the actual needs","22","14","0","0","9","14","12","15","10","27","11","16","14","0","0",NA,"75","0","44","50","33","0","0","14","0","50","33","50","50","50","0","24","0","33","17","0","35","67","100","50","100","100","23","50","38","23","40",NA,"0","0","0","0",NA,"75","33","0","12","80","0",NA,"0","17"
"Exploitation of recipients","6","19","0","50","0","5","5","2","5","1","0","15","0","0","50",NA,"0","0","0","0","0","8","0","14","0","10","0","0","50","50","0","6","0","0","0","0","5","8","0","0","0","0","8","0","0","4","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0"
"Insufficient instruction on how to use items received","11","6","0","0","5","10","4","2","14","4","5","7","0","0","0",NA,"50","0","11","0","0","0","0","0","0","20","0","0","0","50","0","29","0","0","0","4","20","75","0","0","0","100","0","0","19","6","0",NA,"0","0","0","0",NA,"25","0","0","25","80","0",NA,"0","17"
"Presence of armed actors","2","7","0","0","0","0","2","2","0","0","0","1","0","0","0",NA,"0","0","0","0","0","0","0","0","0","10","0","0","50","0","0","6","0","0","0","0","3","0","0","0","0","0","8","0","6","2","0",NA,"20","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0"
"Extortion of assistance","3","7","0","0","0","5","3","0","15","0","0","3","0","0","0",NA,"0","0","0","0","0","0","0","0","0","40","0","50","50","50","0","24","17","33","0","0","2","0","0","0","0","0","0","0","12","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0"
"No problems experienced","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0"
"Do not know","8","28","0","0","0","5","12","0","22","17","16","14","0","0","0",NA,"0","0","0","0","0","0","0","14","0","10","33","0","0","0","14","6","0","0","0","29","0","0","0","0","0","0","8","0","0","6","0",NA,"40","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0"
"Prefer not to answer","1","1","0","0","0","0","1","0","0","9","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","50",NA,"0","0"
"Is there a mechanism in place for residents in this site to provide feedback or complaints on the type of aid received?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No","58.25","89.06","10.53","80","8.33","70.37","78.57","37.5","67.57","28.26","76.19","69.65","85.71","62.5","83.33","100","93.33","75","90","30","50","64","94.44","57.14","29.63","94.44","100","50","100","85.71","66.67","88.89","81.82","50","100","55.7","39.9","91.67","33.33","50","66.67","50","100","100","27.78","43.41","33.33","81.25","87.5","100","66.67","83.33","0","0","100","100","62.5","100","100","0","100","33.33"
"Yes","26.59","9.38","57.89","0","83.33","18.52","10.14","60.23","20.27","71.74","19.05","18.79","14.29","25","16.67","0","0","12.5","10","30","25","20","5.56","28.57","44.44","5.56","0","50","0","14.29","16.67","11.11","9.09","50","0","20.25","32.09","0","0","37.5","0","50","0","0","55.56","37.36","46.67","18.75","0","0","11.11","0","100","100","0","0","0","0","0","100","0","16.67"
"NC","15.15","1.56","31.58","20","8.33","11.11","11.29","2.27","12.16","0","4.76","11.56","0","12.5","0","0","6.67","12.5","0","40","25","16","0","14.29","25.93","0","0","0","0","0","16.67","0","9.09","0","0","24.05","28.01","8.33","66.67","12.5","33.33","0","0","0","16.67","19.23","20","0","12.5","0","22.22","16.67","0","0","0","0","37.5","0","0","0","0","50"
"What proportion of people living in the site make use of Complaint feedback mechanisms (CFM)/ OR / have given feedback?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A few (1-25%)","44.89","100","72.73",NA,"47.5","60","41.86","33.96","53.33","45.45","50","30.77","0","50","100",NA,NA,"100","0","33.33","0","40","100","50","25","100",NA,"0",NA,"100","50","0","100","100",NA,"56.25","46.03",NA,NA,"100",NA,"100",NA,NA,"30","52.94","28.57","100",NA,NA,"100",NA,"25","20",NA,NA,NA,NA,NA,"11.11",NA,"100"
"Some (26-50%)","20.72","0","18.18",NA,"5","20","18.6","33.96","6.67","28.79","25","26.15","0","0","0",NA,NA,"0","100","33.33","0","0","0","50","50","0",NA,"0",NA,"0","0","0","0","0",NA,"12.5","10.58",NA,NA,"0",NA,"0",NA,NA,"40","25","42.86","0",NA,NA,"0",NA,"75","60",NA,NA,NA,NA,NA,"88.89",NA,"0"
"NC","19.67","0","9.09",NA,"37.5","20","25.58","20.75","26.67","13.64","25","29.23","100","50","0",NA,NA,"0","0","0","0","60","0","0","25","0",NA,"100",NA,"0","50","50","0","0",NA,"18.75","16.4",NA,NA,"0",NA,"0",NA,NA,"30","11.76","28.57","0",NA,NA,"0",NA,"0","20",NA,NA,NA,NA,NA,"0",NA,"0"
"None","10.36","0","0",NA,"10","0","9.3","1.89","13.33","9.09","0","9.23","0","0","0",NA,NA,"0","0","33.33","100","0","0","0","0","0",NA,"0",NA,"0","0","0","0","0",NA,"6.25","21.69",NA,NA,"0",NA,"0",NA,NA,"0","2.94","0","0",NA,NA,"0",NA,"0","0",NA,NA,NA,NA,NA,"0",NA,"0"
"Many (51-75%)","2.85","0","0",NA,"0","0","4.65","5.66","0","3.03","0","4.62","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0","0","0",NA,"6.25","2.65",NA,NA,"0",NA,"0",NA,NA,"0","4.41","0","0",NA,NA,"0",NA,"0","0",NA,NA,NA,NA,NA,"0",NA,"0"
"All or almost all (76-100%)","1.5","0","0",NA,"0","0","0","3.77","0","0","0","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","50","0","0",NA,"0","2.65",NA,NA,"0",NA,"0",NA,NA,"0","2.94","0","0",NA,NA,"0",NA,"0","0",NA,NA,NA,NA,NA,"0",NA,"0"
"In the past 30 days, what were the barriers that MOST households in this settlement face when trying to access humanitarian aid, if any?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No problem","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,"0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0",NA,"0",NA,NA,"0","0","0","0","0",NA,"0","0","0","0",NA,"0","0",NA,NA,"0",NA,NA,"0","0"
"Lack Of Information","68","29","100","100","85","55","74","70","34","55","14","77",NA,NA,"100",NA,NA,"0","100","100","100","40",NA,"67","100","0","100","0","100","0","50","91","50","50",NA,"70","68","0",NA,"75",NA,NA,"100","100","100","81","60",NA,"0","0","67","100",NA,"100","100",NA,NA,"100",NA,NA,"100","50"
"Physically Unable To Access Points Of Aid Distribution","29","53","0","0","23","45","23","0","14","19","71","44",NA,NA,"0",NA,NA,"33","0","0","0","0",NA,"33","9","0","0","0","100","0","25","9","50","100",NA,"0","35","0",NA,"0",NA,NA,"0","0","31","21","40",NA,"100","0","33","0",NA,"0","0",NA,NA,"100",NA,NA,"0","67"
"Insecurity On Route To Points Of Aid Distribution","18","35","0","0","0","9","16","0","3","7","0","24",NA,NA,"0",NA,NA,"0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","9","0","0",NA,"0","29","0",NA,"0",NA,NA,"0","0","8","10","0",NA,"0","0","17","0",NA,"0","0",NA,NA,"0",NA,NA,"0","33"
"Insecurity At Site Of Aid Distribution","10","6","0","0","8","18","11","0","7","12","14","6",NA,NA,"0",NA,NA,"0","0","0","0","0",NA,"0","0","50","0","0","0","0","0","0","0","0",NA,"0","13","33",NA,"0",NA,NA,"0","0","15","19","0",NA,"0","0","0","0",NA,"0","0",NA,NA,"0",NA,NA,"0","0"
"Exclusion By Camp Managers/Gatekeepers","12","6","0","0","0","0","11","0","7","5","0","4",NA,NA,"0",NA,NA,"0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","9","0","50",NA,"0","24","67",NA,"0",NA,NA,"0","0","0","6","0",NA,"100","0","0","0",NA,"0","0",NA,NA,"50",NA,NA,"0","0"
"Do not know","10","6","0","0","0","9","13","0","52","33","14","6",NA,NA,"0",NA,NA,"67","0","0","0","60",NA,"0","0","50","0","100","0","0","50","9","0","0",NA,"30","3","0",NA,"0",NA,NA,"0","0","0","4","0",NA,"0","100","0","0",NA,"0","0",NA,NA,"0",NA,NA,"0","0"
"Prefer not to answer","1","0","0","0","0","0","0","0","0","0","0","3",NA,NA,"0",NA,NA,"0","0","0","0","0",NA,"0","0","0","0","0","0","100","25","0","0","0",NA,"0","1","0",NA,"25",NA,NA,"0","0","0","0","0",NA,"0","0","0","0",NA,"0","0",NA,NA,"0",NA,NA,"0","0"
"Other","1","0","0","0","0","0","1","30","0","0","0","2",NA,NA,"0",NA,NA,"0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","1","0",NA,"0",NA,NA,"0","0","0","0","20",NA,"0","0","0","0",NA,"0","0",NA,NA,"0",NA,NA,"0","0"
"What is the most common language spoken in this settlement?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maay Somali","49.68","10.14","0","0","10.42","55.56","64.37","5.68","27.03","5.43","42.86","58.38","0","0","0","0","0","0","0","0","0","0","0","0","22.22","11.11","0","50","0","28.57","50","0","18.18","33.33","16.67","54.43","93.38","83.33","50","37.5","0","50","61.54","25","0","19.23","0","6.25","0","0","0","41.67","25","40","0","0","0","0","83.33","100","0","100"
"Standard / Northern Somali","25.89","23.19","100","100","20.83","11.11","13.79","34.09","17.57","34.78","47.62","10.4","85.71","100","100","100","100","100","100","20","100","96","100","42.86","25.93","61.11","25","50","50","0","8.33","78.95","27.27","66.67","83.33","10.13","1.36","0","25","37.5","33.33","50","30.77","25","94.44","59.34","100","93.75","100","100","100","41.67","50","60","66.67","90","100","100","0","0","100","0"
"Benaadir Somali","14.54","60.87","0","0","45.83","11.11","13.56","48.86","41.89","47.83","0","18.5","14.29","0","0","0","0","0","0","0","0","0","0","42.86","33.33","27.78","75","0","50","71.43","8.33","10.53","36.36","0","0","21.52","0.17","0","0","25","0","0","0","0","0","0.55","0","0","0","0","0","0","25","0","0","0","0","0","16.67","0","0","0"
"NC","9.17","5.8","0","0","22.92","22.22","8.28","11.36","13.51","11.96","9.52","12.72","0","0","0","0","0","0","0","80","0","4","0","14.29","18.52","0","0","0","0","0","33.33","10.53","18.18","0","0","13.92","5.09","16.67","25","0","66.67","0","7.69","50","5.56","10.99","0","0","0","0","0","16.67","0","0","33.33","10","0","0","0","0","0","0"
"Somali Sign Language","0.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mushunguli","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"What are other languages spoken in the site by ANY persons?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Standard / Northern Somali","52","33","5","100","77","67","59","42","32","58","81","40","14","88","78","100","100","100","90","100","100","96","100","71","85","44","0","50","100","57","33","58","73","67","100","52","29","75","50","75","33","50","77","50","94","74","100","88","100","0","100","75","75","100","67","100","100","100","17","100","100","0"
"Benaadir Somali","47","55","5","0","94","85","71","50","54","59","57","58","14","0","0","0","0","0","0","0","0","0","0","57","89","56","75","50","100","100","67","89","64","100","17","66","31","92","50","50","33","100","0","50","0","14","7","0","0","0","0","83","75","0","100","80","0","80","67","0","0","100"
"Maay Somali","76","67","0","0","88","100","83","83","74","43","90","80","100","0","6","0","0","0","0","80","0","8","0","71","70","67","100","50","75","100","67","100","100","67","67","76","97","100","75","62","100","100","54","75","17","84","7","0","0","0","0","92","75","20","0","0","0","80","100","0","100","100"
"Arabic","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","8","0","0","0","0","0","4","0","0","0","0","50","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"English","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Italian","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bravanese (Chimwiini/ Chimbalazi)","2","0","0","0","0","0","3","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","43","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","25","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kibajuni","1","0","0","0","0","0","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","29","4","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","50","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mushunguli","7","6","0","0","0","4","8","0","4","0","24","3","14","0","0","0","0","0","0","0","0","0","0","14","4","0","0","0","0","14","0","47","9","0","17","0","0","0","0","0","0","0","0","50","50","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Somali Sign Language","0","0","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"None","5","3","95","0","0","4","1","0","5","0","0","1","0","12","17","11","67","0","90","0","0","68","6","0","0","6","0","50","0","0","25","0","0","0","0","3","1","0","0","0","0","0","8","0","0","10","7","12","0","100","100","0","0","0","0","10","0","0","0","0","0","0"
"Do not know","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Prefer not to answer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Would you agree to be contacted again to answer a set of questions for verification purposes only?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","94.6","62.32","100","100","97.92","92.59","94.71","98.86","89.19","100","90.48","97.69","100","100","100","100","93.33","100","100","100","75","100","100","85.71","59.26","100","100","50","100","100","100","100","100","100","100","100","94.23","83.33","100","87.5","100","100","92.31","100","94.44","95.6","100","100","100","100","100","100","100","100","100","100","100","100","83.33","100","50","100"
"NC","3.61","10.14","0","0","2.08","7.41","2.76","1.14","8.11","0","0","1.73","0","0","0","0","6.67","0","0","0","25","0","0","14.29","33.33","0","0","0","0","0","0","0","0","0","0","0","4.92","16.67","0","12.5","0","0","7.69","0","5.56","4.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0"
"No","1.79","27.54","0","0","0","0","2.53","0","2.7","0","9.52","0.58","0","0","0","0","0","0","0","0","0","0","0","0","7.41","0","0","50","0","0","0","0","0","0","0","0","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.67","0","0","0"
"May we share your contact details with other humanitarian partners for future surveys?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","98.21","73.91","100","100","100","96.3","97.93","100","97.3","100","95.24","99.71","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","50","100","100","100","100","100","100","100","100","99.83","25","100","100","100","100","100","100","88.89","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"No","1.79","26.09","0","0","0","3.7","2.07","0","2.7","0","4.76","0.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0.17","75","0","0","0","0","0","0","11.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(Observation) Have you seen any shelters damaged?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","73.55","78.26","31.58","0","100","66.67","70.57","86.36","62.16","91.3","66.67","43.93","85.71","50","22.22","11.11","73.33","0","30","60","75","28","100","100","92.59","77.78","50","100","50","100","66.67","89.47","100","66.67","50","79.75","91.17","100","100","100","100","100","15.38","100","100","85.16","33.33","56.25","12.5","12.5","44.44","75","100","100","100","90","62.5","100","83.33","11.11","100","100"
"No","26.45","21.74","68.42","100","0","33.33","29.43","13.64","37.84","8.7","33.33","56.07","14.29","50","77.78","88.89","26.67","100","70","40","25","72","0","0","7.41","22.22","50","0","50","0","33.33","10.53","0","33.33","50","20.25","8.83","0","0","0","0","0","84.62","0","0","14.84","66.67","43.75","87.5","87.5","55.56","25","0","0","0","10","37.5","0","16.67","88.89","0","0"
"(Observation) Have you seen any faecal matter around shelters?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","60.92","79.71","31.58","80","97.92","55.56","53.79","57.95","52.7","67.39","42.86","40.17","71.43","37.5","27.78","33.33","20","12.5","20","70","0","40","66.67","28.57","96.3","66.67","50","50","50","57.14","66.67","78.95","54.55","66.67","16.67","84.81","73.17","100","100","87.5","33.33","100","53.85","100","100","71.43","53.33","6.25","12.5","0","11.11","41.67","100","100","100","100","75","20","83.33","0","50","100"
"No","39.08","20.29","68.42","20","2.08","44.44","46.21","42.05","47.3","32.61","57.14","59.83","28.57","62.5","72.22","66.67","80","87.5","80","30","100","60","33.33","71.43","3.7","33.33","50","50","50","42.86","33.33","21.05","45.45","33.33","83.33","15.19","26.83","0","0","12.5","66.67","0","46.15","0","0","28.57","46.67","93.75","87.5","100","88.89","58.33","0","0","0","0","25","80","16.67","100","50","0"
"(Observation) Have you seen any burning of waste?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","54.65","65.22","15.79","20","95.83","62.96","41.15","53.41","43.24","84.78","38.1","26.88","42.86","12.5","22.22","22.22","13.33","0","20","10","25","52","27.78","28.57","96.3","11.11","50","0","50","85.71","33.33","47.37","54.55","66.67","16.67","72.15","76.06","100","100","50","100","100","38.46","100","100","67.58","26.67","6.25","25","0","0","41.67","100","40","100","60","50","80","100","0","100","100"
"No","45.35","34.78","84.21","80","4.17","37.04","58.85","46.59","56.76","15.22","61.9","73.12","57.14","87.5","77.78","77.78","86.67","100","80","90","75","48","72.22","71.43","3.7","88.89","50","100","50","14.29","66.67","52.63","45.45","33.33","83.33","27.85","23.94","0","0","50","0","0","61.54","0","0","32.42","73.33","93.75","75","100","100","58.33","0","60","0","40","50","20","0","100","0","0"
"(Observation) Have you seen any public lighting?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No","64.14","55.07","94.74","80","25","51.85","74.25","64.77","83.78","60.87","71.43","88.15","100","75","94.44","100","46.67","100","70","90","25","48","88.89","71.43","37.04","94.44","50","50","50","14.29","41.67","52.63","54.55","66.67","33.33","62.03","53.82","100","50","87.5","100","50","84.62","75","55.56","30.77","40","81.25","87.5","50","66.67","58.33","25","100","33.33","60","75","0","66.67","100","75","0"
"Yes","35.86","44.93","5.26","20","75","48.15","25.75","35.23","16.22","39.13","28.57","11.85","0","25","5.56","0","53.33","0","30","10","75","52","11.11","28.57","62.96","5.56","50","50","50","85.71","58.33","47.37","45.45","33.33","66.67","37.97","46.18","0","50","12.5","0","50","15.38","25","44.44","69.23","60","18.75","12.5","50","33.33","41.67","75","0","66.67","40","25","100","33.33","0","25","100"
"(Observation) Is there sufficient space for people to walk in between shelters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","72.51","66.67","94.74","80","97.92","70.37","64.67","82.95","31.08","88.04","61.9","42.44","28.57","87.5","83.33","77.78","73.33","87.5","90","80","75","84","94.44","71.43","74.07","33.33","50","50","75","85.71","66.67","63.16","54.55","33.33","83.33","77.22","90.15","83.33","100","100","100","100","92.31","100","44.44","77.47","86.67","81.25","50","100","100","100","100","100","100","100","100","100","33.33","22.22","75","100"
"No","27.49","33.33","5.26","20","2.08","29.63","35.33","17.05","68.92","11.96","38.1","57.56","71.43","12.5","16.67","22.22","26.67","12.5","10","20","25","16","5.56","28.57","25.93","66.67","50","50","25","14.29","33.33","36.84","45.45","66.67","16.67","22.78","9.85","16.67","0","0","0","0","7.69","0","55.56","22.53","13.33","18.75","50","0","0","0","0","0","0","0","0","0","66.67","77.78","25","0"
"(Observation) Is there a main access road leading to the IDP settlement?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","84.47","78.26","94.74","80","100","85.19","82.76","84.09","56.76","89.13","76.19","65.03","85.71","87.5","83.33","77.78","73.33","100","100","90","75","92","100","100","77.78","72.22","75","100","100","100","83.33","94.74","81.82","100","83.33","94.94","94.74","100","100","100","100","100","100","100","100","82.42","93.33","87.5","50","100","100","100","100","100","100","100","100","100","0","100","100","100"
"No","15.53","21.74","5.26","20","0","14.81","17.24","15.91","43.24","10.87","23.81","34.97","14.29","12.5","16.67","22.22","26.67","0","0","10","25","8","0","0","22.22","27.78","25","0","0","0","16.67","5.26","18.18","0","16.67","5.06","5.26","0","0","0","0","0","0","0","0","17.58","6.67","12.5","50","0","0","0","0","0","0","0","0","0","100","0","0","0"
"(Observation) Is there a secondary access road leading to the IDP settlement?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","76.81","78.26","84.21","80","89.58","70.37","73.79","73.86","36.49","82.61","76.19","46.24","42.86","87.5","83.33","77.78","73.33","50","40","70","25","88","100","100","66.67","33.33","75","100","25","85.71","83.33","63.16","63.64","100","83.33","96.2","93.04","100","100","100","100","100","100","75","100","87.36","93.33","87.5","50","100","100","83.33","75","100","100","90","100","100","66.67","33.33","75","100"
"No","23.19","21.74","15.79","20","10.42","29.63","26.21","26.14","63.51","17.39","23.81","53.76","57.14","12.5","16.67","22.22","26.67","50","60","30","75","12","0","0","33.33","66.67","25","0","75","14.29","16.67","36.84","36.36","0","16.67","3.8","6.96","0","0","0","0","0","0","25","0","12.64","6.67","12.5","50","0","0","16.67","25","0","0","10","0","0","33.33","66.67","25","0"
"snfi_nc_index1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","57.23","26.09","36.84","0","64.58","92.59","61.38","14.77","50","27.17","90.48","43.35","28.57","75","11.11","22.22","0","0","50","50","100","28","33.33","100","29.63","38.89","75","50","50","85.71","75","73.68","72.73","66.67","83.33","31.65","86.59","91.67","75","25","100","50","38.46","25","77.78","59.34","13.33","25","62.5","100","33.33","25","0","100","33.33","20","25","0","16.67","100","100","100"
"1","42.77","73.91","63.16","100","35.42","7.41","38.62","85.23","50","72.83","9.52","56.65","71.43","25","88.89","77.78","100","100","50","50","0","72","66.67","0","70.37","61.11","25","50","50","14.29","25","26.32","27.27","33.33","16.67","68.35","13.41","8.33","25","75","0","50","61.54","75","22.22","40.66","86.67","75","37.5","0","66.67","75","100","0","66.67","80","75","100","83.33","0","0","0"
"snfi_nc_index2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","61.16","72.73","42.86",NA,"84.62","88.89","51.38","100","62.5","57.14","55.56","71.43","100","100","50","0",NA,NA,"40","0","100","100","60","85.71","100","50","50","100","100","0","83.33","54.55","20","0","20","86.67","63.74","81.82","66.67","100","0","0","100","100","66.67","43.96","50","0","40","25","0","100",NA,"80","100","50","50",NA,NA,"100","66.67","100"
"1","38.84","27.27","57.14",NA,"15.38","11.11","48.62","0","37.5","42.86","44.44","28.57","0","0","50","100",NA,NA,"60","100","0","0","40","14.29","0","50","50","0","0","100","16.67","45.45","80","100","80","13.33","36.26","18.18","33.33","0","100","100","0","0","33.33","56.04","50","100","60","75","100","0",NA,"20","0","50","50",NA,NA,"0","33.33","0"
"snfi_nc_index3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","93.64","100","83.33",NA,"92.31","100","93.87","90.91","100","95","100","98.4","100","100","100","100",NA,NA,"100","20","100","100","100","100","100","83.33","100","100","100","100","100","92.86","100","100","100","100","90.89","100","100","100","100","100","100",NA,"71.43","98.94","50","75","100","42.86","100","100",NA,"100","100","100","100",NA,"100","100","50","100"
